Index,Research areas,Bio,Research interests,Achievements and awards,Full name
ramji-venkataramanan,Communications; Convex programming; Nonlinear programming; Stochastic optimisation; High dimensional inference; Estimation theory; ,Ramji Venkataramanan is a University Lecturer in Information Engineering at the University of Cambridge. He is also a Fellow and Director of Studies at Trinity Hall. He received his PhD in electrical engineering (systems) from the University of Michigan; Ann Arbor in 2008; and his undergraduate degree from the Indian Institute of Technology; Madras in 2002. Before joining Cambridge University in 2013; he held post-doctoral positions at Stanford University and Yale University.; Ramji's research interests are broadly in the areas of information theory; statistical learning; and inference. A recent focus of his work has been on designing efficient message passing algorithms for high-dimensional statistical problems such as matrix factorisation; compressed sensing and phase retrieval. He hopes to collaborate with Turing researchers in areas such as computational biology and social science to explore new applications of these algorithms. He is also interested in understanding the fundamental limits of machine learning algorithms. For example; questions such as: How fast can the accuracy of any algorithm improve as the size of the training data grows?; ,Ramji's research interests are broadly in the areas of information theory; statistical learning; and inference. A recent focus of his work has been on designing efficient message passing algorithms for high-dimensional statistical problems such as matrix factorisation; compressed sensing and phase retrieval. He hopes to collaborate with Turing researchers in areas such as computational biology and social science to explore new applications of these algorithms. He is also interested in understanding the fundamental limits of machine learning algorithms. For example; questions such as: How fast can the accuracy of any algorithm improve as the size of the training data grows?; ,['N/A'], Ramji Venkataramanan 
raphael-hauser,['N/A'],Raphael Hauser studied Mathematics and Theoretical Physics at the EPFL and ETH in Lausanne and Zurich; Switzerland; followed by a PhD in Operations Research at Cornell University in Ithaca; USA. After a postdoc at Cambridge; Raphael joined the faculty at the University of Oxford; where he is currently an Associate Professor in Numerical Mathematics at the Oxford Mathematical Institute and the Tanaka Fellow in Applied Mathematics at Pembroke College. He is a member of the Numerical Analysis Group; the Mathematical and Computational Finance Group; and of the Oxford Emirates Data Lab.; Raphaelís research interests lie in optimisation algorithms; applied probability and statistics; distributed computing; and medical imaging. He is experienced in working on industrial collaborations involving real-world data and an inventor of several patents. At the Alan Turing Institute he will work on distributed algorithms for convex optimisation; extending an approach he developed for large scale principal component analysis.; ,Raphaelís research interests lie in optimisation algorithms; applied probability and statistics; distributed computing; and medical imaging. He is experienced in working on industrial collaborations involving real-world data and an inventor of several patents. At the Alan Turing Institute he will work on distributed algorithms for convex optimisation; extending an approach he developed for large scale principal component analysis.; ,['N/A'],Professor Raphael Hauser 
renaud-lambiotte,Dynamical systems & differential equations; Multi-agent systems; Multi-agent reasoning; Nonlinear dynamics; Pattern formation; Graph theory; Social psychology; ,Renaud Lambiotte has a PhD in physics from the Université libre de Bruxelles. After postdocs at ENS Lyon; Université de Liège; UCLouvain and Imperial College London; and a professorship in Mathematics at the University of Namur; he is currently associate professor at the Mathematical Institute of Oxford University. His main research interests are the modelling and analysis of processes taking place on large networks; with a particular focus on social and brain networks.; Algorithms and models of large-scale networks; ,Algorithms and models of large-scale networks; ,['N/A'],Professor Renaud Lambiotte 
ricardo-silva,Algorithms; Machine learning; Uncertainty quantification; Causality; Monte Carlo methods; ,Ricardo Silva got his PhD at Carnegie Mellon in 2005; in the newly formed Machine Learning Department. He moved to UCL as a Senior Research Fellow in the Gatsby Computational Neuroscience Unit. After a year at the Statistical Laboratory at Cambridge as a postdoc; Ricardo returned to UCL to join the Department of Statistical Science as a Lecturer in 2008.; His research focuses on: 1. Algorithms for probabilistic inference: approximations for likelihoods and posterior distributions based mostly of variational approximations and Markov chain Monte Carlo. 2. Latent variable models:  measurement error models and generalisations of probabilistic principal component analysis; as well as the modelling of network data. 3. Machine learning for causal inference: identification and discovery of models with unmeasured confounding and measurement error. He has also recently focused on applied work on human movement modelling; including partners such as TfL (for traffic data); UCL Institute of Behavioural Neuroscience (human navigation strategies) and Stratagem Ltd (sports modelling).; ,His research focuses on: 1. Algorithms for probabilistic inference: approximations for likelihoods and posterior distributions based mostly of variational approximations and Markov chain Monte Carlo. 2. Latent variable models:  measurement error models and generalisations of probabilistic principal component analysis; as well as the modelling of network data. 3. Machine learning for causal inference: identification and discovery of models with unmeasured confounding and measurement error. He has also recently focused on applied work on human movement modelling; including partners such as TfL (for traffic data); UCL Institute of Behavioural Neuroscience (human navigation strategies) and Stratagem Ltd (sports modelling).; ,['N/A'],Dr Ricardo Silva 
richard-dawson,['N/A'],Richard Dawson is Professor of Earth Systems Engineering in the School of Engineering at Newcastle University. He gained his PhD from the University of Bristol. His research focuses on the analysis and management of environmental risks to infrastructure networks; catchments and urban areas.; Richard has managed research funding worth £14m and currently leads Newcastle University's involvement in the major UK Collaboratorium for Research in Infrastructure and Cities (UKCRIC) programme. This includes co-leading the Newcastle Urban Observatory (www.urbanobservatory.ac.uk) and new engineering laboratories.  ; Richard is interested in application of data analytics to advance civil engineering and urban design. This includes: ; ,Richard is interested in application of data analytics to advance civil engineering and urban design. This includes: ; ,['N/A'],Professor Richard Dawson 
richard-everson,['N/A'],Richard Everson graduated with a degree in Physics from Cambridge University and a PhD in Applied Mathematics from Leeds University in 1988. He worked at Brown and Yale Universities on fluid mechanics and data analysis problems until moving to Rockefeller University; New York to work on optical imaging and modelling of the visual cortex. After working at Imperial College; London; he was appointed lecturer at Exeter University in 1999; where he is now a Professor of Machine Learning and Director of the Institute for Data Science and AI.; His current research interests are in machine learning and optimisation; and the interplay between them.  Current research projects include: surrogate modelling and Bayesian optimisation for optimisation of expensive-to-evaluate functions; such as computational fluid dynamics design problems; use of novel data; such as social media; in predicting damage from high winds; tracking-by-parts in video; automatic analysis of video for sewer inspection; linking of accelerometer data to physical activity; and clustering to understand dementia diagnoses.  He works closely with industrial partners on topics ranging from air traffic control to detecting lameness in cows.; ,His current research interests are in machine learning and optimisation; and the interplay between them.  Current research projects include: surrogate modelling and Bayesian optimisation for optimisation of expensive-to-evaluate functions; such as computational fluid dynamics design problems; use of novel data; such as social media; in predicting damage from high winds; tracking-by-parts in video; automatic analysis of video for sewer inspection; linking of accelerometer data to physical activity; and clustering to understand dementia diagnoses.  He works closely with industrial partners on topics ranging from air traffic control to detecting lameness in cows.; ,['N/A'],Professor Richard Everson 
richard-mann,Dynamical systems & differential equations; Multi-agent systems; Multi-agent reasoning; Game theory; Cognitive science; Social psychology; Uncertainty quantification; Simulation; ,Richard Mann is a University Academic Fellow in the School of Mathematics; University of Leeds. Previously he held postdoctoral positions at Uppsala University; The Institute for Futures Studies in Stockholm and ETH Zurich. He completed his DPhil at the University of Oxford in 2010.; Dr Mann's research is focused on collective behaviour and cognitive reasoning. He is interested in how individuals learn about the world by observing the actions and decisions of others; and how this in turn affects their own behaviour and ultimately the behaviour of whole groups. His goal is to understanding the basis for individual choices and their collective consequences; and through this knowledge to discover how collective behaviour can be predicted; controlled and optimised.; ,Dr Mann's research is focused on collective behaviour and cognitive reasoning. He is interested in how individuals learn about the world by observing the actions and decisions of others; and how this in turn affects their own behaviour and ultimately the behaviour of whole groups. His goal is to understanding the basis for individual choices and their collective consequences; and through this knowledge to discover how collective behaviour can be predicted; controlled and optimised.; ,['N/A'], Richard Mann 
richard-samworth,['N/A'],Richard Samworth is Professor of Statistics in the Statistical Laboratory at the University of Cambridge and a Fellow of St John's College.  He received his PhD; also from the University of Cambridge; in 2004; and currently holds an EPSRC Early Career Fellowship.;  ; His main research interests are in developing methodology and theory for high-dimensional and nonparametric statistical inference.  He is currently particularly interested in techniques for handling statistical challenges in Big Data that rely on perturbations of the data and aggregation.  Examples include random projection ensembles for high-dimensional classification and subsampling for variable selection. Other interests include shape-constrained and other nonparametric function estimation problems; Independent Component Analysis; and the bootstrap and its variants (e.g. bagging).; ,His main research interests are in developing methodology and theory for high-dimensional and nonparametric statistical inference.  He is currently particularly interested in techniques for handling statistical challenges in Big Data that rely on perturbations of the data and aggregation.  Examples include random projection ensembles for high-dimensional classification and subsampling for variable selection. Other interests include shape-constrained and other nonparametric function estimation problems; Independent Component Analysis; and the bootstrap and its variants (e.g. bagging).; ,['N/A'],Professor Richard Samworth 
rob-procter,['N/A'],Rob Procter is Professor of Social Informatics and deputy head (research) in the department of Computer Science; Warwick University. Previously he has held positions at Manchester and Edinburgh universities. His research interests are strongly inter-disciplinary; and include social media analytics and social data science.  ;  ; Rob’s current data science-related research includes the use of machine learning to: predict the veracity of content posted in social media and; analyse factors that influence the propagation of inflammatory postings. He is also interested in a number of other areas related to data science. These include methodological and ethical issues in the use of new forms of data in social research. More generally; he is interested: in applications of big data analytics in domains such as smart cities and healthcare; investigating social and technical issues that may influence the adoption of data science across academic; commercial and public sectors.; ,Rob’s current data science-related research includes the use of machine learning to: predict the veracity of content posted in social media and; analyse factors that influence the propagation of inflammatory postings. He is also interested in a number of other areas related to data science. These include methodological and ethical issues in the use of new forms of data in social research. More generally; he is interested: in applications of big data analytics in domains such as smart cities and healthcare; investigating social and technical issues that may influence the adoption of data science across academic; commercial and public sectors.; ,['N/A'],Professor Rob Procter 
robert-foley,Information retrieval; Evolution & adaptation; Applications (Machine learning); ,Robert Foley is Leverhulme Professor of Human Evolution at the University of Cambridge; and a Fellow of King's College. He obtained his PhD from Cambridge; and was subsequently a lecturer in biological anthropology at the University of Durham. Since 1986 he has been at Cambridge; and in 2001 co-founded the Leverhulme Centre for Human Evolutionary Studies; an inter-disciplinary research centre focused on developing multi-disciplinary and integrated approaches to human evolution. He was elected a Fellow of the British Academy in 2007.; Robert Foley's research has focused on the evolution and ecology of humans; especially their behaviour and adaptations. Much of this work has concentrated on understanding humans in terms of general Darwinian patterns and processes; and relating human evolution to more general models of evolution. Among his contributions are the development of off-site archaeology; community ecology and co-evolutionary approaches to hominin evolution; ecological models for human evolution; phylogenetic methods for analysing technological; cultural; social and linguistic evolution; the multiple dispersal model of human origins; and multi-disciplinary approaches to the evolution of human diversity.; His research combines traditional palaeoanthropological investigations with emerging approaches such as ancient DNA; agent-based modelling and human behavioural and cognitive experiments. This research has included early African hominins; the evolution of modern humans; and more recent prehistory and anthropology. Current research is focused on developing comparative and quantitative approaches to human evolution; including genotype-phenotype relationships. He has carried out field projects in Africa and Melanesia. He is currently involved in major field projects in northern and central Kenya. His books include Off-Site Archaeology; Another Unique Species: Patterns in Human Evolutionary Ecology; Humans before Humanity; and Principles of Human Evolution.; ,Robert Foley's research has focused on the evolution and ecology of humans; especially their behaviour and adaptations. Much of this work has concentrated on understanding humans in terms of general Darwinian patterns and processes; and relating human evolution to more general models of evolution. Among his contributions are the development of off-site archaeology; community ecology and co-evolutionary approaches to hominin evolution; ecological models for human evolution; phylogenetic methods for analysing technological; cultural; social and linguistic evolution; the multiple dispersal model of human origins; and multi-disciplinary approaches to the evolution of human diversity.; His research combines traditional palaeoanthropological investigations with emerging approaches such as ancient DNA; agent-based modelling and human behavioural and cognitive experiments. This research has included early African hominins; the evolution of modern humans; and more recent prehistory and anthropology. Current research is focused on developing comparative and quantitative approaches to human evolution; including genotype-phenotype relationships. He has carried out field projects in Africa and Melanesia. He is currently involved in major field projects in northern and central Kenya. His books include Off-Site Archaeology; Another Unique Species: Patterns in Human Evolutionary Ecology; Humans before Humanity; and Principles of Human Evolution.; ,['N/A'],Professor Robert Foley FBA
robert-mackay,['N/A'],Robert MacKay FRS CPhys FInstP CMath FIMA is a Professor in the Mathematics Institute of the University of Warwick and Director of Mathematical Interdisciplinary Research at Warwick. He was Director of Warwick’s Centre for Complexity Science from 2007-15 and President of the (UK) Institute of Mathematics and its Applications for 2012-13. He has made many contributions to the theory and applications of Nonlinear Dynamics. He has extensive research leadership and management experience.;  ; Robert proposes to develop (i) Gaussian processes to detect underdamped oscillations; with particular reference to AC electricity networks; (ii) models of financial systems to address their stability and regulation; (iii) design of assessor-assessee graphs for panel assessments to optimise the use of expertise and calibration.; ,Robert proposes to develop (i) Gaussian processes to detect underdamped oscillations; with particular reference to AC electricity networks; (ii) models of financial systems to address their stability and regulation; (iii) design of assessor-assessee graphs for panel assessments to optimise the use of expertise and calibration.; ,['N/A'],Professor Robert MacKay 
robert-piechocki,Compression (Algorithms); Information theory (Applied mathematics); Multi-agent systems; Robotics; Control theory; Neural networks; Communications; Applications (Machine learning); Deep learning; Reinforcement learning; Semi-supervised learning; Supervised learning; Unsupervised learning; Cryptography (Privacy & trust); Uncertainty quantification; Causality; Simulation; Information theory (Statistical methods & theory); ,Robert J. Piechocki is a Professor of Wireless Systems in the School of Computer Science; Electrical and Electronic Engineering and Engineering Maths. Robert received his PhD in Electrical and Electronic Engineering from Bristol in 2002.; Robert’s research interests span the areas of Connected Intelligent Systems; Wireless Networks; Information and Communication Theory; Statistics and AI. In his research work; he strives to develop solutions for decision making and inference in networked systems which communicate over resource constrained and unreliable links. Example of such networks are fleets of Connected and Automated Vehicles (CAV); which demand ultra-reliable and low-latency connectivity; despite very rapid changes in network topology and individual wireless links being subject to severe interference. Additional interests include contextual sensing in energy constraint IoT systems; such as battery powered IoT systems in residential healthcare applications.; ,Robert’s research interests span the areas of Connected Intelligent Systems; Wireless Networks; Information and Communication Theory; Statistics and AI. In his research work; he strives to develop solutions for decision making and inference in networked systems which communicate over resource constrained and unreliable links. Example of such networks are fleets of Connected and Automated Vehicles (CAV); which demand ultra-reliable and low-latency connectivity; despite very rapid changes in network topology and individual wireless links being subject to severe interference. Additional interests include contextual sensing in energy constraint IoT systems; such as battery powered IoT systems in residential healthcare applications.; ,['N/A'],Professor Robert Piechocki 
ross-king,['N/A'],Ross D. King obtained a B.Sc. Hons. Microbiology from the University of Aberdeen; and a Ph.D. in Computer Science from the Turing Institute. He is currently Professor of Machine Intelligence at the University of Manchester. His main research interests are in the interface between computer science and biology/chemistry. The research achievement he is most proud of is originating the idea of a “Robot Scientist”: using laboratory robotics to physically implement a closed-loop scientific discovery system.; His Robot Scientist “Adam” was the first machine to hypothesise and experimentally confirm scientific knowledge. His new robot “Eve” is searching for drugs against neglected tropical diseases. His work on this subject has been published in the top scientific journals; Science and Nature; and has received wide publicity. He is also very interested in building nondeterministic universal Turing machines using DNA; computational aesthetics; and computational economics. He spends his weekends walking along the Welsh coast.; ,['N/A'],['N/A'],Professor Ross King 
roy-ruddle,Data structures; Human computer interface; Cognitive science; Ethics; ,Roy Ruddle is a Professor of Computing at the University of Leeds; and Deputy Director (Research Technology) of the Leeds Institute for Data Analytics (LIDA). He has worked in both academia and industry; and researches visualization; visual analytics and human-computer interaction in spaces that range from high-dimensional data to virtual reality. In a 12-year collaboration with pathologists at the Leeds Teaching Hospitals NHS Trust (LTHT); he developed the Leeds Virtual Microscope (LVM) for visualizing tera-pixel image collections on Powerwall and ultra-high definition displays; leading to its use for pathology training in NHS hospitals and commercialisation by Roche.; The LVM has already won awards for its research (ACM ToCHI Best Paper 2016) and application (Yorkshire & Humber NHS Innovation Award for Medical Devices and Diagnostics; 2014). His industry-sponsored petrophysics research led to the PETMiner software; which integrates objective and subjective data in visualizations for interactive data analysis; and has been commercialised by the spin-out Petriva Ltd. He currently researches novel visualization methods for data profiling; investigating data quality; and analysing complex coded data such as electronic health records and retail transactions. That research involves collaborations with NHS Digital; Leeds City Council; LTHT; Bradford Institute for Health Research; Sainsbury's; and other organisations.; Professor Roy Ruddle designs; develops and evaluates visual analytic methods that address two neglected but challenging topics: (a) data quality; and (b) broken workflows. Both are essential if data analysis pipelines and models are to be rigorously designed; and hence are fundamental to data science. Visual analytics places users in the driving seat during the analysis of complex data; by combining the unique power of humans for detecting and reasoning about patterns (via interactive visualisation tools) and of machines for handling scale (via sophisticated models and powerful on-the-fly computation).; Data quality spans everything from data that is missing ('completeness') to data that is invalid; inconsistent; incompatible; implausible or clearly an error (these are all types of 'correctness'). Broken workflow occurs because it is rare that users rigorously investigate the knock-on consequences of choices made in one analysis step on the output of the next.; ,Professor Roy Ruddle designs; develops and evaluates visual analytic methods that address two neglected but challenging topics: (a) data quality; and (b) broken workflows. Both are essential if data analysis pipelines and models are to be rigorously designed; and hence are fundamental to data science. Visual analytics places users in the driving seat during the analysis of complex data; by combining the unique power of humans for detecting and reasoning about patterns (via interactive visualisation tools) and of machines for handling scale (via sophisticated models and powerful on-the-fly computation).; Data quality spans everything from data that is missing ('completeness') to data that is invalid; inconsistent; incompatible; implausible or clearly an error (these are all types of 'correctness'). Broken workflow occurs because it is rare that users rigorously investigate the knock-on consequences of choices made in one analysis step on the output of the next.; ,['N/A'],Professor Roy Ruddle 
ruben-sanchez-garcia,Geometry & topology; Applied mathematics; Graph theory; ,Ruben Sanchez Garcia is Associate Professor in Pure and Applied Mathematics at the University of Southampton. He did an undergraduate degree in Mathematics at the Universidad de Málaga (Spain); has a PhD from the University of Southampton; and held postdoctoral positions at the University of Sheffield  and Düsseldorf (Germany).; He has a pure mathematics background in Algebraic Topology; although he is working in the interface between pure and applied mathematics; particularly network science and applied topology. His interdisciplinary work includes collaborations with other mathematicians; physicists; power engineers; medics; biologists; and academics in business and risk management.; He is founding member of TopMD; which uses topological methods to identify pathological molecular pathways from gene expression data.; In his Turing Pilot Project; Dr Sanchez Garcia combines recent advances in data analytics and network modelling to identify combinations of genes that oscillate in a coordinated way (gene oscillators) from noisy experimental data. Genetic oscillators have important roles in regulating the timing of cellular dynamics and detecting them is essential to correctly identify cell types and transitions between cell states.; ,In his Turing Pilot Project; Dr Sanchez Garcia combines recent advances in data analytics and network modelling to identify combinations of genes that oscillate in a coordinated way (gene oscillators) from noisy experimental data. Genetic oscillators have important roles in regulating the timing of cellular dynamics and detecting them is essential to correctly identify cell types and transitions between cell states.; ,['N/A'],Dr Ruben Sanchez Garcia 
ruth-ahnert,Research methods; Social networks; ,Ruth Ahnert is Principal Investigator on the flagship Turing project 'Living With Machines'; and a Professor of Literary History and Digital Humanities at Queen Mary University of London. She gained her PhD from the Department of English at the University of Cambridge; but more recently her work has focused on the intersection between literary history and data science. She has held fellowships and grants funded by the AHRC; Stanford Humanities Center; the Folger Shakespeare Library; and the National Endowment of the Humanities (US).; In addition to her Turing-based work she is also Co-I on the AHRC-funded 'Networking the Archives: Assembling and Analysing Early Modern Correspondence'. With Elaine Treharne she is editor of the Stanford University Press book series Stanford Text Technologies.; Ruth's research at the Turing is dedicated to the 'Living with Machines' project. This project is a bold proposal for a new research paradigm. In this ground-breaking partnership between the Turing; the British Library; and partner universities (the University of Cambridge; the University of East Anglia; the University of Exeter; and Queen Mary University of London); historians; data scientists; geographers; computational linguists; and curators have been brought together to examine the human impact of industrial revolution.It is widely recognised that Britain was the birthplace of the world's first industrial revolution; yet there is still much to learn about the human; social; and cultural consequences of this historical moment. Focusing on the long nineteenth century (c.1780-1918); the Living with Machines project aims to harness the combined power of massive digitised archives and computational analytical tools to examine the ways in which technology altered the very fabric of human existence on a hitherto unprecedented scale.; The central theme - the mechanisation of work practices - speaks directly to present debates about how society can accommodate the revolutionary consequences of AI and robotics in what has become known as the fourth industrial revolution. To understand the fraught co-existence of human and machine; this project contends that we need research methods that combine technological innovation and human expertise.; ,Ruth's research at the Turing is dedicated to the 'Living with Machines' project. This project is a bold proposal for a new research paradigm. In this ground-breaking partnership between the Turing; the British Library; and partner universities (the University of Cambridge; the University of East Anglia; the University of Exeter; and Queen Mary University of London); historians; data scientists; geographers; computational linguists; and curators have been brought together to examine the human impact of industrial revolution.It is widely recognised that Britain was the birthplace of the world's first industrial revolution; yet there is still much to learn about the human; social; and cultural consequences of this historical moment. Focusing on the long nineteenth century (c.1780-1918); the Living with Machines project aims to harness the combined power of massive digitised archives and computational analytical tools to examine the ways in which technology altered the very fabric of human existence on a hitherto unprecedented scale.; The central theme - the mechanisation of work practices - speaks directly to present debates about how society can accommodate the revolutionary consequences of AI and robotics in what has become known as the fourth industrial revolution. To understand the fraught co-existence of human and machine; this project contends that we need research methods that combine technological innovation and human expertise.; ,['N/A'],Professor Ruth Ahnert 
ruth-king,Statistical methods & theory; Uncertainty quantification; Monte Carlo methods; Time series; Modelling (Statistical methods & theory); ,Ruth King is the Thomas Bayes' Chair of Statistics at the University of Edinburgh. She was awarded her PhD in 2001 from the University of Bristol; supervised by Steve Brooks. She then held positions at the Universities of Cambridge (PDRA; 2001-3) and St Andrews (EPSRC post-doctoral fellow in Mathematics 2003-5; lecturer 2003-10; reader 2010-15) before taking up her current appointment at the University of Edinburgh in 2015. Ruth was elected a Fellow of the Learned Society of Wales in 2017; and to the Royal Society of Edinburgh in 2018. ; Ruth’s research lies in the development of statistical methodology and their applications; primarily within the fields of ecology and epidemiology. A significant part of her research has involved dealing with intractable likelihoods; and the associated tools to fitting such models using a variety of different approaches; including Bayesian approaches; approximate likelihoods; imputation approaches and numerical integration. State-space models and hidden (semi-)Markov models have proven to be a very powerful tool in modelling a vast range of different systems; separating the true underlying system from the associated observation process are of particular interest; including the associated model-fitting tools. Further interest lies in integrating different forms of data within a single robust analysis; dealing with missing data and incorporating different forms of heterogeneity within a variety of application areas. ; ,Ruth’s research lies in the development of statistical methodology and their applications; primarily within the fields of ecology and epidemiology. A significant part of her research has involved dealing with intractable likelihoods; and the associated tools to fitting such models using a variety of different approaches; including Bayesian approaches; approximate likelihoods; imputation approaches and numerical integration. State-space models and hidden (semi-)Markov models have proven to be a very powerful tool in modelling a vast range of different systems; separating the true underlying system from the associated observation process are of particular interest; including the associated model-fitting tools. Further interest lies in integrating different forms of data within a single robust analysis; dealing with missing data and incorporating different forms of heterogeneity within a variety of application areas. ; ,['N/A'],Professor Ruth King FLSW; FRSE
sabina-leonelli,Robotics; Multi-agent reasoning; Communications; Databases; Human computer interface; Information retrieval; Data science of government & politics; Ethics; Research methods; ,Sabina Leonelli is a professor in philosophy and history of science at the University of Exeter; where she co-directs the Centre for the Study of the Life Sciences (Egenis). She gained her PhD at the Vrije Universiteit Amsterdam; following an MSc in history and philosophy of science at the London School of Economics and a BSc (hons) in history; philosophy and social studies of science at University College London.; Her research focuses on the methods and assumptions involved in the use of big data for discovery; the challenges involved in the extraction of knowledge from digital infrastructures; and the implications of choices in data curation for the outputs and uses of science and technology; the role of the open science movement within current landscapes of knowledge production; including concerns around inequality; and the status and history of experimental organisms as scientific models and data sources. She published widely in a variety of disciplines including philosophy; history; social studies of science; data science and biology; and is active in science policy; particularly as adviser on Open Science implementation for the European Commission and the steering boards of various research data infrastructures.; A key task for data science is to develop classification systems through which diverse types of data can be aligned to provide common ground for data mining and discovery. Developing such systems constitutes a challenge in the biological; biomedical and environmental sciences; where the methods and vocabulary used to classify data are often unique to the interests of those involved in data generation. ; On the one hand; linking disparate data together requires agreeing on common standards and keywords without losing information that may prove crucial to data interpretation. On the other hand; the choice of data classification systems requires a high degree of domain-specific knowledge and familiarity with the object and processes that data are aimed to document. These systems determine which claims – and about what – data are taken as evidence for; whose knowledge is legitimised or excluded by analytic tools; and whose perspective is incorporated within data-driven knowledge systems. ; What keywords should be used to bring data together or apart; how should these keywords be defined; who should make such decisions; and what are their implications for knowledge production and its impact on global society? This project addresses these questions through philosophical; historical and social scientific methods; aiming to provide a systematic analysis of (1) international initiatives aimed to facilitate data linkage; (2) the historical roots and motivations underpinning their classifications; and (3) the ways in which they map onto contemporary social challenges; such as the pursuit of the Sustainable Development Goals set out by the United Nations.; ,A key task for data science is to develop classification systems through which diverse types of data can be aligned to provide common ground for data mining and discovery. Developing such systems constitutes a challenge in the biological; biomedical and environmental sciences; where the methods and vocabulary used to classify data are often unique to the interests of those involved in data generation. ; On the one hand; linking disparate data together requires agreeing on common standards and keywords without losing information that may prove crucial to data interpretation. On the other hand; the choice of data classification systems requires a high degree of domain-specific knowledge and familiarity with the object and processes that data are aimed to document. These systems determine which claims – and about what – data are taken as evidence for; whose knowledge is legitimised or excluded by analytic tools; and whose perspective is incorporated within data-driven knowledge systems. ; What keywords should be used to bring data together or apart; how should these keywords be defined; who should make such decisions; and what are their implications for knowledge production and its impact on global society? This project addresses these questions through philosophical; historical and social scientific methods; aiming to provide a systematic analysis of (1) international initiatives aimed to facilitate data linkage; (2) the historical roots and motivations underpinning their classifications; and (3) the ways in which they map onto contemporary social challenges; such as the pursuit of the Sustainable Development Goals set out by the United Nations.; ,['N/A'],Professor Sabina Leonelli 
samuel-johnson,Dynamical systems & differential equations; Neural networks; Neuroscience; Nonlinear dynamics; Deep learning; Graph theory; Stochastic (Mathematical modelling); Data science of government & politics; Social networks; Combinatorics; ,Samuel Johnson received a PhD in physics from the University of Granada in 2011. He went on to work as a postdoc at the University of Oxford; a Marie Curie research fellow at Imperial College London; and a Zeeman lecturer at the University of Warwick; before taking up a lectureship in applied mathematics at the University of Birmingham in 2017.; Sam works on several topics related to complex systems; focusing particularly on the relationship between network structure and dynamics:; ,Sam works on several topics related to complex systems; focusing particularly on the relationship between network structure and dynamics:; ,['N/A'],Dr Samuel Johnson 
sandra-wachter,['N/A'],Dr. Sandra Wachter is a Researcher in Data Ethics and Algorithms at the Oxford Internet Institute; she is a member of the Ethics and Philosophy of Information research cluster and the Digital Ethics Lab. Sandra is also a Turing Research Fellow at the Alan Turing Institute in London. Her research focuses on the legal and ethical implications of Big Data; AI; and robotics as well as governmental surveillance; predictive policing; and human rights online.; Prior to joining the OII; Sandra worked the Royal Academy of Engineering on topics such as connectivity; AI; and autonomous systems. Sandra holds a Master’s and PhD in law specialising on European; International; and human rights law as well as technology and data protection law. In her PhD; she explored the concept of democracy according to the European Court of Human Rights and tested whether democracy is compatible with mass surveillance methods such as the European Data Retention Directive. Sandra also holds a Master’s of Science from the Oxford Internet Institute. Her thesis looked at tensions between freedom of speech and the right to privacy on social networks.; Her immediate research focuses on ethical design of algorithms; including the development of standards and methods to ensure fairness; accountability; transparency; interpretability; and group privacy in complex algorithmic systems. Sandra’s research also addresses legal and ethical aspects of robotics (e.g. surgical; domestic and social robots) and autonomous systems (e.g. autonomous and connected cars); including liability; accountability; and privacy issues as well as international policies and regulatory responses to the social and ethical consequences of automation. Research interests: Data Ethics; Big Data; AI; machine learning; algorithms; robotics; privacy; data protection and technology law; European; -International-; and human rights law; governmental algorithmic surveillance; and emotion detection; predictive policing .; ,Her immediate research focuses on ethical design of algorithms; including the development of standards and methods to ensure fairness; accountability; transparency; interpretability; and group privacy in complex algorithmic systems. Sandra’s research also addresses legal and ethical aspects of robotics (e.g. surgical; domestic and social robots) and autonomous systems (e.g. autonomous and connected cars); including liability; accountability; and privacy issues as well as international policies and regulatory responses to the social and ethical consequences of automation. Research interests: Data Ethics; Big Data; AI; machine learning; algorithms; robotics; privacy; data protection and technology law; European; -International-; and human rights law; governmental algorithmic surveillance; and emotion detection; predictive policing .; ,['N/A'],Professor Sandra Wachter 
sarah-filippi,['N/A'],Dr. Sarah Filippi joined the Department of Statistics of Oxford University in June 2014. She previously held a Medical Research Council Fellowship (2011-2104) in the Theoretical Systems Biology group at Imperial College London where she worked on a range of topics in computational statistics focused on understanding biological processes and their relation to disease. Prior to this she studied mathematics and stochastic processes at the University Denis Diderot in Paris (France) and completed her PhD in 2010 in reinforcement learning and parametric bandit models at LTCI; a joint lab of TELECOM ParisTech and CNRS.  ;  ; Dr. Filippi’s main research interests are related to the use of mathematical modelling; statistical machine learning and computational statistics to gain insight into biological processes and their role in diseases. She has a particular interest in addressing computational and statistical challenges in the analysis of genomic; transcriptomic and proteomic data at a single-cell level.; ,Dr. Filippi’s main research interests are related to the use of mathematical modelling; statistical machine learning and computational statistics to gain insight into biological processes and their role in diseases. She has a particular interest in addressing computational and statistical challenges in the analysis of genomic; transcriptomic and proteomic data at a single-cell level.; ,['N/A'],Dr Sarah Filippi 
